dex_number,name,german_name,region,type_1,type_2,available_in_pogo,location_restriction,last_event,last_event_date,extra_info
899,Wyrdeer,Damythir,galar,normal,psychic,yes,,,,
900,Kleavor,Axantor,galar,bug,rock,yes,,,,
901,Ursaluna,Ursaluna,galar,ground,normal,yes,,,,
902,Basculegion,Salmagnis,galar,water,ghost,no,,,,
903,Sneasler,Snieboss,galar,fighting,poison,yes,,,,
904,Overqwil,Myriador,galar,dark,poison,yes,,,,
905,Enamorus,Cupidos,galar,fairy,flying,yes,,,,
906,Sprigatito,Felori,paldea,grass,,yes,,,,
907,Floragato,Feliospa,paldea,grass,,yes,,,,
908,Meowscarada,Maskagato,paldea,grass,dark,yes,,,,
909,Fuecoco,Krokel,paldea,fire,,yes,,,,
910,Crocalor,Lokroko,paldea,fire,,yes,,,,
911,Skeledirge,Skelokrok,paldea,fire,ghost,yes,,,,
912,Quaxly,Kwaks,paldea,water,,yes,,,,
913,Quaxwell,Fuentente,paldea,water,,yes,,,,
914,Quaquaval,Bailonda,paldea,water,fighting,yes,,,,
915,Lechonk,Ferkuli,paldea,normal,,yes,,,,
916,Oinkologne,Fragrunz,paldea,normal,,yes,,,,
917,Tarountula,Tarundel,paldea,bug,,yes,,,,
918,Spidops,Spinsidias,paldea,bug,,yes,,,,
919,Nymble,Micrick,paldea,bug,,yes,,,,
920,Lokix,Lextremo,paldea,bug,dark,yes,,,,
921,Pawmi,Pamo,paldea,electric,,yes,,,,
922,Pawmo,Pamamo,paldea,electric,fighting,yes,,,,
923,Pawmot,Pamomamo,paldea,electric,fighting,yes,,,,
924,Tandemaus,Zwieps,paldea,normal,,yes,,,,
925,Maushold,Famieps,paldea,normal,,yes,,,,
926,Fidough,Hefel,paldea,fairy,,yes,,,,
927,Dachsbun,Backel,paldea,fairy,,yes,,,,
928,Smoliv,Olini,paldea,grass,normal,yes,,,,
929,Dolliv,Olivinio,paldea,grass,normal,yes,,,,
930,Arboliva,Olithena,paldea,grass,normal,yes,,,,
931,Squawkabilly,Krawalloro,paldea,normal,flying,no,,,,
932,Nacli,Geosali,paldea,rock,,yes,,,,
933,Naclstack,Sedisal,paldea,rock,,yes,,,,
934,Garganacl,Saltigant,paldea,rock,,yes,,,,
935,Charcadet,Knarbon,paldea,fire,,yes,,,,
936,Armarouge,Crimanzo,paldea,fire,psychic,yes,,,,
937,Ceruledge,Azugladis,paldea,fire,ghost,yes,,,,
938,Tadbulb,Blipp,paldea,electric,,yes,,,,
939,Bellibolt,Wampitz,paldea,electric,,yes,,,,
940,Wattrel,Voltrel,paldea,electric,flying,yes,,,,
941,Kilowattrel,Voltrean,paldea,electric,flying,yes,,,,
942,Maschiff,Mobtiff,paldea,dark,,no,,,,
943,Mabosstiff,Mastifioso,paldea,dark,,no,,,,
944,Shroodle,Sproxi,paldea,poison,normal,yes,,,,
945,Grafaiai,Affiti,paldea,poison,normal,yes,,,,
946,Bramblin,Weherba,paldea,grass,ghost,no,,,,
947,Brambleghast,Horrerba,paldea,grass,ghost,no,,,,
948,Toedscool,Tentagra,paldea,ground,grass,yes,,,,
949,Toedscruel,Tenterra,paldea,ground,grass,yes,,,,
950,Klawf,Klibbe,paldea,rock,,yes,,,,
951,Capsakid,Chilingel,paldea,grass,,no,,,,
952,Scovillain,Halupenjo,paldea,grass,fire,no,,,,
953,Rellor,Relluk,paldea,bug,,no,,,,
954,Rabsca,Skarabaks,paldea,bug,psychic,no,,,,
955,Flittle,Flattutu,paldea,psychic,,no,,,,
956,Espathra,Psiopatra,paldea,psychic,,no,,,,
957,Tinkatink,Forgita,paldea,fairy,steel,yes,,,,
958,Tinkatuff,Tafforgita,paldea,fairy,steel,yes,,,,
959,Tinkaton,Granforgita,paldea,fairy,steel,yes,,,,
960,Wiglett,Schligda,paldea,water,,yes,,,,
961,Wugtrio,Schligdri,paldea,water,,yes,,,,
962,Bombirdier,Adebom,paldea,flying,dark,yes,,,,
963,Finizen,Normifin,paldea,water,,no,,,,
964,Palafin,Delfinator,paldea,water,,no,,,,
965,Varoom,Knattox,paldea,steel,poison,yes,,,,
966,Revavroom,Knattatox,paldea,steel,poison,yes,,,,
967,Cyclizar,Mopex,paldea,dragon,normal,no,,,,
968,Orthworm,Schlurm,paldea,steel,,no,,,,
969,Glimmet,Lumispross,paldea,rock,poison,yes,,,,
970,Glimmora,Lumiflora,paldea,rock,poison,yes,,,,
971,Greavard,Gruff,paldea,ghost,,yes,,,,
972,Houndstone,Friedwuff,paldea,ghost,,yes,,,,
973,Flamigo,Flaminkno,paldea,flying,fighting,no,,,,
974,Cetoddle,Flaniwal,paldea,ice,,yes,,,,
975,Cetitan,Kolowal,paldea,ice,,yes,,,,
976,Veluza,Agiluza,paldea,water,psychic,no,,,,
977,Dondozo,Heerashai,paldea,water,,yes,,,,
978,Tatsugiri,Nigiragi,paldea,dragon,water,yes,,,,
979,Annihilape,Epitaff,paldea,fighting,ghost,yes,,,,
980,Clodsire,Suelord,paldea,poison,ground,yes,,,,
981,Farigiraf,Farigiraf,paldea,normal,psychic,no,,,,
982,Dudunsparce,Dummimisel,paldea,normal,,yes,,,,
983,Kingambit,Gladimperio,paldea,dark,steel,yes,,,,
984,Great Tusk,Riesenzahn,paldea,ground,fighting,no,,,,
985,Scream Tail,Brüllschweif,paldea,fairy,psychic,no,,,,
986,Brute Bonnet,Wutpilz,paldea,grass,dark,no,,,,
987,Flutter Mane,Flatterhaar,paldea,ghost,fairy,no,,,,
988,Slither Wing,Kriechflügel,paldea,bug,fighting,no,,,,
989,Sandy Shocks,Sandfell,paldea,electric,ground,no,,,,
990,Iron Treads,Eisenrad,paldea,ground,steel,no,,,,
991,Iron Bundle,Eisenbündel,paldea,ice,water,no,,,,
992,Iron Hands,Eisenhand,paldea,fighting,electric,no,,,,
993,Iron Jugulis,Eisenhals,paldea,dark,flying,no,,,,
994,Iron Moth,Eisenfalter,paldea,fire,poison,no,,,,
995,Iron Thorns,Eisendorn,paldea,rock,electric,no,,,,
996,Frigibax,Frospino,paldea,dragon,ice,yes,,,,
997,Arctibax,Cryospino,paldea,dragon,ice,yes,,,,
998,Baxcalibur,Espinodon,paldea,dragon,ice,yes,,,,
999,Gimmighoul,Gierspenst,paldea,ghost,,yes,,,,
1000,Gholdengo,Monetigo,paldea,steel,ghost,yes,,,,
1001,Wo-Chien,Chongjian,paldea,dark,grass,no,,,,
1002,Chien-Pao,Baojian,paldea,dark,ice,no,,,,
1003,Ting-Lu,Dinglu,paldea,dark,ground,no,,,,
1004,Chi-Yu,Yuyu,paldea,dark,fire,no,,,,
1005,Roaring Moon,Donnersichel,paldea,dragon,dark,no,,,,
1006,Iron Valiant,Eisenkrieger,paldea,fairy,fighting,no,,,,
1007,Koraidon,Koraidon,paldea,fighting,dragon,no,,,,
1008,Miraidon,Miraidon,paldea,electric,dragon,no,,,,
1009,Walking Wake,Windewoge,paldea,water,dragon,no,,,,
1010,Iron Leaves,Eisenblatt,paldea,grass,psychic,no,,,,
1011,Dipplin,Sirapfel,paldea,grass,dragon,yes,,,,
1012,Poltchageist,Mortcha,paldea,grass,ghost,yes,,,,
1013,Sinistcha,Fatalitcha,paldea,grass,ghost,yes,,,,
1014,Okidogi,Boninu,paldea,poison,fighting,no,,,,
1015,Munkidori,Benesaru,paldea,poison,psychic,no,,,,
1016,Fezandipiti,Beatori,paldea,poison,fairy,no,,,,
1017,Ogerpon,Ogerpon,paldea,grass,,no,,,,
1018,Archaludon,Briduradon,paldea,steel,dragon,no,,,,
1019,Hydrapple,Hydrapfel,paldea,grass,dragon,yes,,,,
1020,Gouging Fire,Keilflamme,paldea,fire,dragon,no,,,,
1021,Raging Bolt,Furienblitz,paldea,electric,dragon,no,,,,
1022,Iron Boulder,Eisenfels,paldea,rock,psychic,no,,,,
1023,Iron Crown,Eisenhaupt,paldea,steel,psychic,no,,,,
1024,Terapagos,Terapagos,paldea,normal,,no,,,,
1025,Pecharunt,Infamomo,paldea,poison,ghost,no,,,,
